label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 11,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42297349, 26.24967463",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 12,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43439145, 26.02653593",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 13,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35896449, 25.98476028",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 14,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40619125, 26.12956974",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 15,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41711038, 26.13217622",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 16,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42228401, 26.21550996",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 17,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44583912, 26.00359162",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 18,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42589317, 26.06489236",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 19,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47254516, 26.21189851",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 20,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44442806, 26.09178285",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 21,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35342117, 26.02183071",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 22,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36413291, 26.09046469",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 23,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44962571, 25.99375069",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 24,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44917203, 26.02383597",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 25,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45338114, 26.20519659",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 26,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43998716, 26.04848571",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 27,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43223535, 26.08245197",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 28,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35511894, 26.00106038",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 29,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38185627, 26.0236845",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 30,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4351683, 26.0432651",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 31,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43102802, 25.99377744",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 32,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44657901, 25.97315369",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 33,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43188436, 26.19511896",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 34,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39397894, 26.08389888",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 35,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36879777, 26.09266529",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 36,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42887359, 26.01989569",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 37,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47637951, 25.97511231",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 38,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35710799, 25.97707359",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 39,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38474311, 26.12351502",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 40,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39331106, 26.10195586",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 41,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4724318, 25.98278936",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 42,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45234551, 26.21888932",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 43,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44859804, 25.98971584",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 44,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48650253, 26.16949537",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 45,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4856219, 25.96351997",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 46,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44698756, 26.04984866",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 47,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38356368, 26.1590732",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 48,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44408437, 26.09630843",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 49,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40915961, 26.16205154",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 50,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46135698, 26.06856922",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 51,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48390404, 26.00731417",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 52,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44415626, 26.02792579",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 53,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.49147376, 25.96458472",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 54,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46781246, 26.07440587",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 55,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41742504, 26.11382205",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 56,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37091736, 26.06174885",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 57,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46593052, 26.14426609",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 58,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41104179, 26.03010547",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 59,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41945344, 26.21588724",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 60,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42541829, 26.14012513",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 61,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37207889, 26.12890169",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 62,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48361327, 26.08876838",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 63,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45965565, 26.02049811",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 64,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41113157, 25.97583236",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 65,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45270209, 26.04980688",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 66,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47169781, 26.05962744",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 67,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.371921, 26.00156402",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 68,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44566549, 26.22909034",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 69,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44162952, 26.22285423",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 70,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43959105, 26.05468639",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 71,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46231983, 25.99833261",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 72,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48160109, 26.1845461",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 73,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.428179, 26.05411991",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 74,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41500901, 26.08823413",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 75,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.410683, 26.02782659",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 76,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.483016, 25.96146072",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 77,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38900423, 26.06894934",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 78,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4414527, 26.07095525",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 79,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.49707747, 26.08921595",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 80,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37876717, 26.08591734",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 81,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37165962, 26.01970151",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 82,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38076653, 26.08442392",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 83,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37338801, 26.01768875",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 84,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40761039, 25.98516333",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 85,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37466826, 26.02479136",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 86,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40728733, 26.14138331",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 87,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43420472, 26.21595212",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 88,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51469934, 25.94689463",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 89,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41126323, 26.02155216",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 90,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.5031476, 26.07628209",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 91,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43395638, 26.19574383",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 92,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47450149, 26.15154765",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 93,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.52303268, 25.957893",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 94,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48114641, 26.03198465",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 95,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41556416, 26.11532382",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 96,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41298018, 25.9671857",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 97,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44179333, 26.02232458",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 98,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38968952, 25.98996359",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,2,,,,,,,
