label,travelMode,startWaypoint,endWaypoint,unloadingPolicy,costPerHour,costPerTraveledHour,costPerKilometer,fixedCost,usedIfRouteIsEmpty,travelDurationMultiple,StartTimeWindowCostPerHourBeforeSoftStartTime,StartTimeWindowCostPerHourAfterSoftEndTime,startTimeWindowStartTime,startTimeWindowSoftStartTime,startTimeWindowEndTime,startTimeWindowSoftEndTime,EndTimeWindowCostPerHourBeforeSoftStartTime,EndTimeWindowCostPerHourAfterSoftEndTime,endTimeWindowStartTime,endTimeWindowSoftStartTime,endTimeWindowEndTime,endTimeWindowSoftEndTime,loadLimit1Type,loadLimit1Value,loadLimit2Type,loadLimit2Value,loadLimit3Type,loadLimit3Value,loadLimit4Type,loadLimit4Value
Vehicle - 12,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 13,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 14,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 15,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 16,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 17,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 18,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 19,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 20,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 21,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 22,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 23,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 24,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 25,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 26,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 27,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 28,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 29,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 30,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 31,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 32,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 33,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 34,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 35,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 36,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 37,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 38,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 39,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
Vehicle - 40,DRIVING,"44.5279615, 26.1798147","44.5279615, 26.1798147",UNLOADING_POLICY_UNSPECIFIED,0,0,0,0,FALSE,1,,,,,,,,,,,,,pallets,100,,,,,,
